Name,RushAtt,RushYds,RushTds,Targets,Receptions,RecYds,RecTds,TotTD,TotTouch,FPPG,FP
Keaton Mitchell,47,396,2,11,9,93,0,2,56,8.7,60.9
Darrell Henderson Jr.,46,112,2,14,10,103,0,2,56,8.4,33.5
Jeff Wilson Jr.,41,188,0,17,14,85,0,0,55,2.7,27.3
Michael Carter,30,187,0,31,24,101,1,1,54,2.3,34.8
Chris Rodriguez Jr.,51,247,2,2,2,12,0,2,53,3.3,35.9
Kendre Miller,41,156,1,11,10,117,0,1,51,4.2,33.3
D'Ernest Johnson,41,108,0,12,10,140,0,0,51,1.5,24.8
Tank Bigsby,50,132,2,4,1,6,0,2,51,1.4,21.8
Jerick McKinnon,21,60,1,32,25,192,4,5,46,5.0,59.4
Craig Reynolds,41,179,1,5,5,47,0,1,46,1.6,24.6
Jordan Mason,40,206,3,4,3,31,0,3,43,2.6,41.7
Patrick Taylor Jr.,32,141,0,17,11,49,0,0,43,1.7,19.0
Isaiah Spiller,37,96,0,6,6,34,0,0,43,1.4,13.0
Darrynton Evans,32,121,1,12,7,49,0,1,39,3.8,23.0
Keaontay Ingram,35,74,0,4,4,26,0,0,39,1.4,10.0
Salvon Ahmed,22,61,1,23,16,88,1,2,38,3.0,26.9
Trey Sermon,35,160,0,6,3,13,0,0,38,1.4,17.3
Ty Johnson,30,132,0,7,7,62,1,1,37,2.8,25.4
Ronnie Rivers,32,129,0,5,5,22,0,0,37,1.7,15.1
Ameer Abdullah,15,89,0,24,19,131,0,0,34,1.3,22.0
Tony Jones Jr.,26,95,2,10,7,37,0,2,33,3.6,25.2
Nick Chubb,28,170,0,4,4,21,0,0,32,9.6,19.1
Deuce Vaughn,23,40,0,7,7,40,0,0,30,1.1,8.0
Melvin Gordon III,26,81,1,3,3,46,0,1,29,4.2,16.7
Israel Abanikanda,22,70,0,11,7,43,0,0,29,1.3,9.3
Ke'Shawn Vaughn,24,42,0,5,2,2,0,0,26,0.9,4.4
Damien Harris,23,94,1,2,2,16,0,1,25,2.4,17.0
La'Mical Perine,22,77,0,5,3,33,0,0,25,2.2,11.0
Boston Scott,20,86,0,6,4,52,0,0,24,1.0,11.8
Eric Gray,17,48,0,7,6,22,0,0,23,0.5,7.0
Trayveon Williams,15,69,0,9,7,10,0,0,22,0.5,7.9
Raheem Blackshear,14,46,0,7,6,45,0,0,20,1.0,11.1
Kyle Juszczyk,5,6,0,17,14,119,2,2,19,1.4,24.5
Kevin Harris,16,65,1,3,3,58,0,1,19,4.6,18.3
Tyler Goodson,13,87,0,9,6,34,0,0,19,2.0,12.1
Chris Brooks,19,106,0,0,0,0,0,0,19,2.7,10.6
Deon Jackson,14,16,0,6,5,14,0,0,19,-0.5,-1.0
Emanuel Wilson,14,85,0,5,4,23,0,0,18,1.5,10.8
Sean Tucker,15,23,0,2,2,9,0,0,17,0.6,3.2
DeeJay Dallas,10,36,0,9,6,26,0,0,16,0.1,2.2
Andrew Beck,5,3,1,13,11,55,2,3,16,0.0,0.0
Alec Ingold,2,0,0,16,13,119,0,0,15,0.7,11.9
Gary Brightwell,9,19,0,7,5,47,0,0,14,1.7,6.6
Damien Williams,11,43,0,2,2,12,0,0,13,1.8,5.5
Mike Boone,5,23,0,9,7,40,0,0,12,0.7,6.3
Leonard Fournette,12,40,0,0,0,0,0,0,12,2.0,4.0
Rashaad Penny,11,33,0,1,1,5,0,0,12,1.3,3.8
Khari Blasingame,8,26,0,6,3,2,0,0,11,0.2,2.8
J.K. Dobbins,8,22,1,3,2,15,0,1,10,9.7,9.7
