Rank,Name,Recs,Targets,RecYds,RecTds,Targets/game,FPPG,FP
109,Brandon Powell,29,44,324,1,2,2.2,38.1
110,Xavier Gipson,21,38,229,0,2,2.2,37.7
111,Jalin Hyatt,23,40,373,0,2,2.2,37.3
112,Jalen Tolbert,22,36,268,2,2,2.2,36.8
113,Marquez Valdes-Scantling,21,42,315,1,2,2.2,35.5
114,Jake Bobo,19,25,196,2,1,2.2,37.9
115,Andrei Iosivas,15,25,116,4,1,2.2,35.6
116,Treylon Burks,16,30,221,0,1,2.2,23.9
117,Quez Watkins,15,21,142,1,1,2.2,20.2
118,David Moore,5,7,94,1,0,2.2,15.4
119,Calvin Austin III,17,30,180,1,1,2.1,35.7
120,Robbie Chosen,4,6,126,1,0,2.1,18.6
121,Kadarius Toney,27,38,169,1,2,2,26
122,Lil'Jordan Humphrey,13,19,162,3,1,2,34.2
123,Jalen Reagor,7,23,138,0,1,2,21.5
124,Braxton Berrios,27,33,238,1,1,1.9,30.9
125,Mack Hollins,18,30,251,0,1,1.9,25.1
126,Jalen Guyton,10,21,89,1,1,1.9,14.9
127,Kyle Philips,15,22,181,0,1,1.8,16.1
128,River Cracraft,9,12,121,1,0,1.8,18.1
129,Cedric Tillman,21,44,224,0,2,1.7,23.2
130,Olamide Zaccheaus,10,20,164,2,1,1.7,28.4
131,Scotty Miller,11,16,161,2,0,1.7,28.1
132,Jason Brownlee,5,8,56,1,0,1.7,11.6
133,D.J. Montgomery,3,8,56,1,0,1.7,11.6
134,Allen Robinson II,34,49,280,0,2,1.6,28
135,Deonte Harty,15,21,150,1,1,1.6,25
136,Tyquan Thornton,13,23,91,0,1,1.6,14.2
137,Ronnie Bell,6,13,68,3,0,1.6,24.8
138,Terrace Marshall Jr.,19,33,139,0,1,1.5,13.9
139,Hunter Renfrow,25,37,255,0,2,1.4,23.5
140,KhaDarel Hodge,14,23,232,0,1,1.4,23.2
141,Dyami Brown,12,23,168,1,1,1.4,23
142,Malik Heath,15,24,125,1,1,1.4,18.5
143,Ihmir Smith-Marsette,8,10,51,0,0,1.4,24.5
144,Ray-Ray McCloud III,12,15,135,0,0,1.4,16.5
145,Laviska Shenault Jr.,10,10,60,0,0,1.4,11.5
146,Simi Fehoko,1,2,9,1,0,1.4,6.9
147,Van Jefferson,20,43,209,0,2,1.3,21.3
148,Derius Davis,15,17,66,0,1,1.2,20.7
149,Jamison Crowder,16,20,159,1,1,1.2,19.9
150,Chase Claypool,8,21,77,1,1,1.2,13.7
151,Charlie Jones,7,9,64,0,0,1.2,13.7
152,Tyler Scott,17,32,168,0,1,1.1,18.9
153,Deven Thompkins,17,25,83,1,1,1.1,17.9
154,Randall Cobb,5,17,39,1,1,1.1,11.9
155,Mecole Hardman Jr.,15,24,124,0,1,1.1,10.7
156,Lawrence Cager,4,5,36,1,0,1.1,9.6
