Rank,Name,Recs,Targets,RecYds,RecTds,Targets/game,FPPG,FP
112,Giovanni Ricci,1,1,2,0,0,0,0.2
113,Matt Sokol,0,0,0,0,0,0,0
114,Matt Orzech,0,0,0,0,0,0,0
115,Parker Hesse,0,0,0,0,0,0,0
116,Mitchell Fraboni,0,0,0,0,0,0,0
117,Devin Asiasi,0,0,0,0,0,0,0
118,Tommy Sweeney,0,0,0,0,0,0,0
119,Tyree Jackson,0,0,0,0,0,0,0
120,Zach Gentry,0,0,0,0,0,0,0
121,Stephen Carlson,0,0,0,0,0,0,0
122,Jody Fortson Jr.,0,0,0,0,0,0,0
123,Dalton Keene,0,0,0,0,0,0,0
124,Feleipe Franks,0,0,0,0,0,0,0
125,Noah Togiai,0,0,0,0,0,0,0
126,Lawrence Cager,4,5,36,1,0,0,0
127,Tyler Mabry,0,0,0,0,0,0,0
128,Sean McKeon,0,2,0,0,0,0,0
129,Tyler Davis,0,0,0,0,0,0,0
130,Scotty Washington,0,0,0,0,0,0,0
131,Tommy Hudson,0,0,0,0,0,0,0
132,Nick Bowers,0,0,0,0,0,0,0
133,Cade Stover,0,0,0,0,0,0,0
134,Zack Kuntz,0,0,0,0,0,0,0
135,Ryan Jones,0,0,0,0,0,0,0
136,Brayden Willis,0,0,0,0,0,0,0
137,Derek Parish,0,0,0,0,0,0,0
138,Joel Wilson,0,0,0,0,0,0,0
139,Blake Whiteheart,0,0,0,0,0,0,0
140,Henry Pearson,0,0,0,0,0,0,0
141,Patrick Murtagh,0,0,0,0,0,0,0
142,Brady Russell,0,0,0,0,0,0,0
143,E.J. Jenkins,0,0,0,0,0,0,0
144,Travis Vokolek,0,0,0,0,0,0,0
145,Johnny Lumpkin,0,0,0,0,0,0,0
146,Thomas Odukoya,0,0,0,0,0,0,0
147,Tanner Taula,0,0,0,0,0,0,0
148,Rodney Williams,0,2,0,0,0,0,0
149,Chris Pierce Jr.,0,0,0,0,0,0,0
150,Leroy Watson,0,0,0,0,0,0,0
151,Dallin Holker,0,0,0,0,0,0,0
152,Jaheim Bell,0,0,0,0,0,0,0
153,Kehinde Oginni Hassan,0,0,0,0,0,0,0
154,Jake Tonges,0,0,0,0,0,0,0
155,Zaire Mitchell-Paden,0,0,0,0,0,0,0
156,Alec Holler,0,0,0,0,0,0,0
157,Tip Reiman,0,0,0,0,0,0,0
158,Jacob Warren,0,0,0,0,0,0,0
159,Jack Westover,0,0,0,0,0,0,0
160,Brenden Bates,0,0,0,0,0,0,0
161,Messiah Swinson,0,0,0,0,0,0,0
162,Devin Culp,0,0,0,0,0,0,0
163,Luke Benson,0,0,0,0,0,0,0
164,Colson Yankoff,0,0,0,0,0,0,0
165,Steven Stilianos,0,0,0,0,0,0,0
166,Treyton Welch,0,0,0,0,0,0,0
167,Mason Pline,0,0,0,0,0,0,0
168,Jjay Mcafee,0,0,0,0,0,0,0
169,Dylan Leonard,0,0,0,0,0,0,0
170,Thomas Yassmin,0,0,0,0,0,0,0
171,Neal Johnson,0,0,0,0,0,0,0
172,Trent Pennix,0,0,0,0,0,0,0
173,Shawn Bowman,0,0,0,0,0,0,0
174,Lincoln Sefcik,0,0,0,0,0,0,0
175,Mike Rigerman,0,0,0,0,0,0,0
176,Riley Sharp,0,0,0,0,0,0,0
177,Joshua Lingenfelter,0,0,0,0,0,0,0
178,Treyton Pickering,0,0,0,0,0,0,0
179,Alex Larson,0,0,0,0,0,0,0
180,Easton Dean,0,0,0,0,0,0,0
181,David Martin-Robinson,0,0,0,0,0,0,0
182,Mason Fairchild,0,0,0,0,0,0,0
183,Cam Grandy,0,0,0,0,0,0,0
184,John Samuel Shenker,0,0,0,0,0,0,0
185,Jordan Murray,0,0,0,0,0,0,0
186,Princeton Fant,0,0,0,0,0,0,0
187,John Stephens Jr.,0,0,0,0,0,0,0
188,Brevyn Spann-Ford,0,0,0,0,0,0,0
189,Zach Heins,0,0,0,0,0,0,0
190,McCallan Castles,0,0,0,0,0,0,0
191,Tanner McLachlan,0,0,0,0,0,0,0
192,Jared Wiley,0,0,0,0,0,0,0
193,AJ Barner,0,0,0,0,0,0,0
194,Ben Sinnott,0,0,0,0,0,0,0
195,La'Michael Pettway,0,0,0,0,0,0,0
196,Matt Bushman,0,0,0,0,0,0,0
197,Trey Knox,0,0,0,0,0,0,0
198,Brock Bowers,0,0,0,0,0,0,0
199,Austin Stogner,0,0,0,0,0,0,0
200,Theo Johnson,0,0,0,0,0,0,0
201,Malcolm Epps,0,0,0,0,0,0,0
202,Baylor Cupp,0,0,0,0,0,0,0
203,Miller Forristall,0,0,0,0,0,0,0
204,Tre' McKitty,0,0,0,0,0,0,0
205,Hunter Long,0,0,0,0,0,0,0
206,Albert Okwuegbunam Jr.,0,1,0,0,0,0,0
207,Sammis Reyes,0,0,0,0,0,0,0
208,Cameron Latu,0,0,0,0,0,0,0
209,Erick All Jr.,0,0,0,0,0,0,0
210,Nikola Kalinic,0,0,0,0,0,0,0
211,Tanner Conner,0,0,0,0,0,0,0
212,Gerrit Prince,0,0,0,0,0,0,0
213,Armani Rogers,0,0,0,0,0,0,0
214,Ja'Tavion Sanders,0,0,0,0,0,0,0
215,Jelani Woods,0,0,0,0,0,0,0
216,Jacob Harris,0,0,0,0,0,0,0
217,Josh Pederson,0,0,0,0,0,0,0
218,Ben Mason,0,0,0,0,0,0,0
219,Hunter Kampmoyer,0,0,0,0,0,0,0
220,Zach Davidson,0,0,0,0,0,0,0
221,Bernhard Seikovits,0,0,0,0,0,0,0
222,Michael Jacobson,0,0,0,0,0,0,0
223,Shane Zylstra,0,0,0,0,0,0,0
224,Dominique Curry,0,0,0,0,0,0,0
225,Drake Dunsmore,0,0,0,0,0,0,0
226,Jordan Matthews,0,0,0,0,0,0,0
227,Derek Fine,0,0,0,0,0,0,0
228,J.P. Foschi,0,0,0,0,0,0,0
229,Darnell Dinkins,0,0,0,0,0,0,0
230,Brad Cottam,0,0,0,0,0,0,0
231,Joey Haynos,0,0,0,0,0,0,0
232,James Dearth,0,0,0,0,0,0,0
233,Marquez Branson,0,0,0,0,0,0,0
234,Justin Snow,0,0,0,0,0,0,0
235,Keith Zinger,0,0,0,0,0,0,0
236,Anthony Firkser,0,0,0,0,0,0,0
237,Darrell Daniels,0,0,0,0,0,0,0
238,J.P. Holtz,0,0,0,0,0,0,0
239,Zach Wood,0,0,0,0,0,0,0
240,Jordan Thomas,0,0,0,0,0,0,0
241,Troy Fumagalli,0,0,0,0,0,0,0
242,Tyler Kroft,0,0,0,0,0,0,0
243,Tyler Ott,0,0,0,0,0,0,0
244,James Winchester,0,0,0,0,0,0,0
245,Patrick Scales,0,0,0,0,0,0,0
246,Stephen Anderson,0,0,0,0,0,0,0
247,Andrew DePaola,0,0,0,0,0,0,0
248,Eric Tomlinson,0,0,0,0,0,0,0
249,Hayden Rucci,0,0,0,0,0,0,0
250,David Wells,2,2,-10,0,0,-0.2,-1
